# Source: http://www.percona.com/docs/wiki/benchmark:cisco:scale:start 
1	955.16	562.62
2	1878.91	1258.05
3	2688.01	1890.37
4	3548.68	2503.93
5	4315.54	3068.93
6	5130.43	3533.94
7	5931.37	4038.42
8	6531.08	4446.48
9	7219.8	4830.21
10	7867.61	5181.95
11	8278.71	5460.3
12	8646.7	5746.34
13	9047.84	5996.51
14	9426.55	6119.23
15	9645.37	6261.42
16	9897.24	6391.45
17	10097.6	6532.84
18	10240.5	6645.45
19	10532.39	6795.81
20	10798.52	7013.94
21	11151.43	7177.58
22	11518.63	7205.59
23	11806	7531.35
24	12089.37	7537.07
25	12075.41	7494.07
26	12177.29	7370.29
27	12211.41	7366.76
28	12158.93	7429.72
29	12155.27	7421.76
30	12118.04	7396.23
31	12140.4	7403.5
32	12074.39	7337.66
